Id,BatteryMinKWh,BatteryMaxKWh,InitialChargerID,InitialStartTime,InitialSOC,ChargingSpeedVolts,ChargingSpeedAmps,NumberPlate,OdometerReading,OdometerLastMaintenance,InRotation,Cost,kwh_per_km
43,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D14,250603,250066,0,10000,1.17
44,85,563,3,2024-05-01 00:00:00+00:00,85,600,250,D15,230083,229667,0,10000,1.16
45,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D16,298035,297842,0,10000,1.18
46,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D17,30726,29901,0,10000,1.12
47,85,563,3,2024-05-01 00:00:00+00:00,85,600,250,D18,28698,28493,0,10000,1.11
48,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D19,65239,64806,0,10000,1.12
49,85,563,1,2024-05-01 00:00:00+00:00,85,600,250,D20,31143,30733,0,10000,1.12
50,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D21,272470,272105,0,10000,1.17
51,85,563,3,2024-05-01 00:00:00+00:00,85,600,250,D22,19036,18579,0,10000,1.11
52,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D23,116487,116425,0,10000,1.14
53,85,563,1,2024-05-01 00:00:00+00:00,85,600,250,D24,196404,196246,0,10000,1.15
54,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D25,216598,216266,0,10000,1.16
55,85,563,3,2024-05-01 00:00:00+00:00,85,600,250,D26,276473,275558,0,10000,1.17
56,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D27,198959,198298,0,10000,1.16
57,85,563,1,2024-05-01 00:00:00+00:00,85,600,250,D28,17118,16856,0,10000,1.11
58,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D29,150306,149538,0,10000,1.14
59,85,563,3,2024-05-01 00:00:00+00:00,85,600,250,D30,12536,11787,0,10000,1.11
60,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D31,114702,114412,0,10000,1.14
61,85,563,1,2024-05-01 00:00:00+00:00,85,600,250,D32,227781,227221,0,10000,1.16
62,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D33,118102,117407,0,10000,1.14
63,42,281,3,2024-05-01 00:00:00+00:00,42,600,200,B0,91318,90468,0,6000,0.89
64,42,281,3,2024-05-01 00:00:00+00:00,42,600,200,B1,162325,161389,0,6000,0.91
65,42,281,3,2024-05-01 00:00:00+00:00,42,600,200,B2,211808,211515,0,6000,0.92
66,42,281,3,2024-05-01 00:00:00+00:00,42,600,200,B3,74369,74289,0,6000,0.89
67,42,281,3,2024-05-01 00:00:00+00:00,42,600,200,B4,243361,243193,0,6000,0.93
68,42,281,3,2024-05-01 00:00:00+00:00,42,600,200,B5,175308,175246,0,6000,0.91
69,42,281,3,2024-05-01 00:00:00+00:00,42,600,200,B6,69232,68560,0,6000,0.88
